player,team,opponent,batting_order,sportsbook,odds,odds_source,odds_fallback_used,opening_odds,current_snapshot_odds,odds_movement,odds_snapshot_count,first_odds_seen_at,last_odds_seen_at,projected_pa,batter_pa,batter_xba,batter_est_slg,batter_est_woba,pitcher_xba_allowed,pitch_mix_matchup_score,pitch_mix_weighted_xba,pitch_mix_weighted_whiff,pitch_mix_primary_pitch,pitch_mix_primary_pitch_usage,pitch_mix_data_status,opponent_bullpen_pitches_3d,opponent_bullpen_appearances_3d,opponent_bullpen_fatigue_score,bullpen_fatigue_status,pre_team_trust_model_hit_probability,model_hit_probability,calibration_adjustment,team_trust_adjustment,team_trust_picks,team_trust_hit_rate,team_trust_avg_probability,team_trust_gap,team_trust_sample_weight,fair_odds,implied_probability,edge,grade,confidence,secondary_hit_probability,secondary_delta_vs_primary,secondary_fair_odds,secondary_edge,secondary_grade,secondary_confidence,third_model_name,third_starter_per_pa_hit_probability,third_bullpen_per_pa_hit_probability,third_hit_probability,third_delta_vs_primary,third_fair_odds,third_market_probability,third_edge,third_grade,third_confidence,markov_hit_probability,markov_adjustment,markov_edge,markov_fair_odds,markov_grade,markov_state,prev_markov_state,markov_transition,markov_signal,markov_sample,markov_state_hit_rate,player_process_score,team_regime_score,pitcher_vulnerability_score,markov_pick,edgestate_base_probability,edgestate_hit_probability,edgestate_market_probability,edgestate_edge,edgestate_fair_odds,edgestate_grade,edgestate_confidence,edgestate_factor_score,edgestate_quality_score,edgestate_opportunity_score,edgestate_value_score,edgestate_mean_reversion_score,edgestate_regime_score,edgestate_relative_value_score,edgestate_factor_adjustment,edgestate_bayesian_adjustment,edgestate_setup,edgestate_value_state,edgestate_signal,edgestate_sample,edgestate_bucket_hit_rate,edgestate_pick,pa_path_model_name,pa_path_lineup_slot,pa_path_projected_pa,pa_path_distribution,pa_path_starter_exposure,pa_path_per_pa_probabilities,pa_path_path_probabilities,pa_path_starter_per_pa,pa_path_bullpen_per_pa,pa_path_hit_probability,pa_path_market_probability,pa_path_edge,pa_path_fair_odds,pa_path_grade,pa_path_confidence,pa_path_pass_filter,pa_path_pick,pa_path_notes,pa_path_peer_probability,pa_path_probability_bucket,pa_path_probability_advantage,pa_path_odds_discount,pa_path_projected_pa_peer_delta,pa_path_5plus_weight,pa_path_5plus_peer_delta,pa_path_bullpen_advantage,pa_path_relative_value_score,pa_path_relative_rank,pa_path_relative_top10,pa_path_hitprob_rank,pa_path_hitprob_top5,pa_path_hitprob_top10,pa_path_roi_qualified,pa_path_relative_notes,swing_raw_baseline_probability,swing_bayesian_probability,swing_shrinkage,swing_contact_factor,swing_momentum_factor,swing_matchup_factor,swing_opportunity_factor,swing_regression_factor,swing_market_value_factor,swing_factor_score,swing_regime_confirmation_score,swing_player_regime,swing_team_regime,swing_pitcher_regime,swing_matchup_regime,swing_mean_reversion_adjustment,swing_regime_adjustment,swing_factor_adjustment,swing_total_adjustment,swing_hit_probability,swing_market_probability,swing_edge,swing_fair_odds,swing_confidence_score,swing_grade,swing_recommendation,swing_key_reason,swing_pick,bookbias_market_probability,bookbias_learned_bias,bookbias_model_probability,bookbias_edge,bookbias_fair_odds,bookbias_grade,bookbias_recommendation,bookbias_confidence,bookbias_signal_agreement,bookbias_hitter_archetype,bookbias_pitcher_profile,bookbias_top_positive_buckets,bookbias_top_negative_buckets,bookbias_key_reason,bookbias_bucket_count,bookbias_pick,dashboard_top5_rank,dashboard_top5_pick,trend_fit_rank,trend_fit_pick,market_coverage_status,confirmed_lineup,lineup_status,lineup_source,historical_avg_batting_order,historical_lineup_slot_sample,historical_lineup_slot_source,opposing_pitcher,opposing_pitcher_hand,original_batting_order,actual_batting_order,actual_projected_pa,actual_lineup_source,pick_date,player_key,lineup_slot,implied_probability_calc,model_prob_avg,model_prob_max,model_prob_min,model_prob_spread,agreement_63,agreement_66,avg_model_edge,hist_adv_total_pa,hist_adv_babip,hist_adv_iso,hist_adv_sopct,hist_adv_bbpct,hist_adv_hrpct,hist_adv_ev,hist_adv_hardhpct,hist_adv_ldpct,hist_adv_gbpct,hist_adv_fbpct,hist_adv_pullpct,hist_adv_centpct,hist_adv_oppopct,hist_adv_wpa,hist_adv_cwpa,hist_adv_re24,hist_ratio_hrpct,hist_ratio_sopct,hist_ratio_bbpct,hist_ratio_xbhpct,hist_ratio_x_per_hpct,hist_ratio_so_per_w,hist_ratio_ab_per_so,hist_ratio_ab_per_hr,hist_ratio_ab_per_rbi,hist_ratio_gb_per_fb,hist_ratio_go_per_ao,hist_ratio_ippct,hist_ratio_ldpct,hist_ratio_hr_per_fb,hist_ratio_if_per_fb,roi_edge_card_pick,roi_edge_card_role,roi_edge_key,game_start_local,minutes_to_game,commence_time,roi_edge_snapshot_date,roi_edge_lock_status,roi_edge_lock_reason
Sam Antonacci,CWS,HOU,1.27,DraftKings,-210,PropLine,False,-210.0,-210.0,0.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.59,96.0,0.327,0.488,0.403,0.132,0.4339824550128532,0.4045411311053983,11.360925449871464,FF,33.3,matched,173.0,9.0,1.0,matched,0.6404,0.62,-0.036,-0.0204,442,0.6041,0.6245,-0.0204,1.0,-163,0.6774193548387096,-0.0574,Pass,Pass,0.6777,0.0577,-210,0.0003,Pass,Pass,PA Context Blend,0.233,0.2433,0.6865,0.0665,-219,0.6774,0.009,Pass,Pass,0.555,-0.065,-0.1224,-125,Pass,Neutral,,New,Downgrade,291,0.5326460481099656,0.9177,-0.204,-2.0,False,0.6404,0.6334,0.6774,-0.044,-173,Pass,Pass,53.9,63.76613756613757,62.4875,39.34375,63.7688940092166,41.8145,50.65,-0.0008,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,1.27,4.59,"{""3"": 0.0051, ""4"": 0.3335, ""5"": 0.5183, ""6"": 0.1431}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2339, 0.2346, 0.2373], ""4"": [0.2339, 0.2346, 0.2373, 0.2423], ""5"": [0.2339, 0.2346, 0.2373, 0.2423, 0.2431], ""6"": [0.2339, 0.2346, 0.2373, 0.2423, 0.2431, 0.2431]}","{""3"": 0.5527, ""4"": 0.6611, ""5"": 0.7435, ""6"": 0.8059}",0.2337,0.2431,0.724,0.6774,0.0466,-262,Lean,Pass,True,False,balanced PA path,0.6409,62.5-64.9,0.0831,-0.0114,0.1903,0.6614,0.1825,0.0094,23.43,61,False,3,True,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6492,0.6461,0.0233,58.93,19.92,0.0,69.2,53.9,42.54,38.19,37.46,Improving Contact,Neutral Offense,Dominant,Pitcher Advantage,0.0027,-0.0175,-0.0131,-0.0279,0.6182,0.6774,-0.0592,-162,47.6,Pass,Pass,PA opportunity,False,0.6774193548387096,-0.08,0.5974,-0.08,-148,Pass,Avoid / Overpriced,88,,star_power_bat,low_xba_allowed_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:top_2 (-3.0%, n=3916); opportunity:top_3 (-3.0%, n=6177)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.2727272727272727,44.0,tracked average pending lineup,Hunter Brown,RHP,5.0,,,,2026-07-25,sam antonacci,1.27,0.6774193548387096,0.6390250000000001,0.724,0.555,0.16899999999999993,4,3,-0.038394354838709566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Research Card,sam antonacci|cws|hou,2026-07-25 19:10:00-04:00,356.5913087333333,2026-07-25T23:10:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Fernando Tatis Jr.,SD,MIA,1.12,DraftKings,-217,PropLine,False,-214.0,-217.0,-3.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.61,175.0,0.277,0.404,0.351,0.233,-0.0889438906752411,0.2287749196141479,34.53408360128617,FF,49.3,matched,120.0,7.0,1.0,matched,0.6788,0.6388,-0.0338,-0.04,501,0.5309,0.6034,-0.0725,1.0,-177,0.6845425867507886,-0.0457,Pass,Pass,0.6687,0.0299,-202,-0.0159,Pass,Pass,PA Context Blend,0.2305,0.2331,0.6775,0.0387,-210,0.6845,-0.007,Pass,Pass,0.5738,-0.065,-0.1107,-135,Pass,Neutral,,New,Downgrade,291,0.5326460481099656,0.4952,-0.725,-0.3429,False,0.6458,0.6357,0.6845,-0.0488,-174,Pass,Pass,49.83,57.42862654320988,62.92083333333335,38.79375,49.77931613339344,43.626725,44.77,-0.0039,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,1.12,4.61,"{""3"": 0.005, ""4"": 0.3257, ""5"": 0.5211, ""6"": 0.1481}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2304, 0.2306, 0.2313], ""4"": [0.2304, 0.2306, 0.2313, 0.2326], ""5"": [0.2304, 0.2306, 0.2313, 0.2326, 0.2327], ""6"": [0.2304, 0.2306, 0.2313, 0.2326, 0.2327, 0.2327]}","{""3"": 0.5448, ""4"": 0.6507, ""5"": 0.732, ""6"": 0.7944}",0.2304,0.2327,0.7137,0.6845,0.0292,-249,Pass,Pass,True,False,balanced PA path,0.6458,62.5-64.9,0.0679,-0.0185,0.2103,0.6692,0.1903,0.0023,18.98,90,False,5,True,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.652,0.6505,0.0014,56.23,10.0,44.51,69.91,49.7,41.16,45.03,47.36,Improving Contact,Cold Offense,Stable / Neutral,Neutral,-0.0002,-0.0076,-0.0078,-0.0156,0.6349,0.6845,-0.0496,-174,51.9,Pass,Pass,PA opportunity,False,0.6845425867507886,-0.08,0.6045,-0.08,-153,Pass,Avoid / Overpriced,88,,balanced_hitter,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:top_2 (-3.0%, n=3916); opportunity:top_3 (-3.0%, n=6177)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.125,48.0,tracked average pending lineup,Eury Pérez,RHP,5.0,,,,2026-07-25,fernando tatis jr,1.12,0.6845425867507886,0.64345,0.7137,0.5738,0.13990000000000002,6,3,-0.04109258675078864,1764.0,0.3047879818594104,0.1921150793650793,20.754478458049885,9.853628117913832,4.0059523809523805,92.74501133786848,52.33424036281179,21.410827664399093,47.68645124716553,25.426643990929705,25.64608843537415,57.83888888888889,16.451020408163266,2.4349206349206347,1.4903628117913832,19.704053287981857,4.0059523809523805,20.754478458049885,9.889625850340137,8.83656462585034,37.40136054421768,2.270436507936508,4.295861678004535,22.32018140589569,7.965532879818594,0.917171201814059,1.151672335600907,64.35997732426304,21.3531746031746,12.72624716553288,11.615079365079364,2,Research Card,fernando tatis jr.|sd|mia,2026-07-25 16:10:00-04:00,176.59130873333334,2026-07-25T20:10:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Jake McCarthy,COL,MIL,1.18,DraftKings,-210,PropLine,False,-210.0,-210.0,0.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.6,93.0,0.279,0.418,0.339,,,,,,,missing player/pitcher pitch mix,118.0,5.0,1.0,matched,0.675,0.6579,-0.0341,-0.0171,514,0.5992,0.6163,-0.0171,1.0,-192,0.6774193548387096,-0.0195,Pass,Pass,0.6675,0.0096,-201,-0.0099,Pass,Pass,PA Context Blend,0.2299,0.2332,0.6761,0.0182,-209,0.6774,-0.0013,Pass,Pass,0.5954,-0.0624691823899371,-0.082,-147,Pass,Improving,,New,Downgrade,159,0.6226415094339622,0.2572,-0.171,0.0,False,0.6555,0.6468,0.6774,-0.0306,-183,Pass,Pass,51.62,53.85859788359789,62.704166666666666,42.95625,54.201170794930896,46.51533632075471,49.53,-0.0025,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,1.18,4.6,"{""3"": 0.0051, ""4"": 0.3296, ""5"": 0.5197, ""6"": 0.1456}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2303, 0.2305, 0.2313], ""4"": [0.2303, 0.2305, 0.2313, 0.2328], ""5"": [0.2303, 0.2305, 0.2313, 0.2328, 0.233], ""6"": [0.2303, 0.2305, 0.2313, 0.2328, 0.233, 0.233]}","{""3"": 0.5447, ""4"": 0.6507, ""5"": 0.7321, ""6"": 0.7945}",0.2302,0.233,0.7134,0.6774,0.036,-249,Lean,Pass,True,False,balanced PA path,0.655,65-67.4,0.0584,0.0152,0.2194,0.6653,0.1968,0.0028,25.06,45,False,6,False,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6603,0.6557,0.0242,52.88,21.59,50.0,69.56,50.4,45.23,48.03,49.78,Neutral,Neutral Offense,Stable / Neutral,Neutral,0.0003,-0.0052,-0.0054,-0.0104,0.6453,0.6774,-0.0321,-182,53.9,Pass,Pass,PA opportunity,False,0.6774193548387096,-0.08,0.5974,-0.08,-148,Pass,Avoid / Overpriced,88,,balanced_hitter,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:top_2 (-3.0%, n=3916); opportunity:top_3 (-3.0%, n=6177)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.181818181818182,33.0,tracked average pending lineup,Robert Gasser,LHP,5.0,,,,2026-07-25,jake mccarthy,1.18,0.6774193548387096,0.6499750000000001,0.7134,0.5954,0.118,6,3,-0.02744435483870955,1029.0,0.3010116618075801,0.1109067055393586,17.517784256559768,6.518075801749272,1.3399416909620991,82.09912536443149,25.01720116618076,20.269679300291543,48.3667638483965,20.626822157434404,33.221574344023324,51.07172011661808,15.728279883381926,0.2437317784256559,0.2209912536443149,3.946180758017493,1.3399416909620991,17.517784256559768,6.518075801749272,5.659766763848396,25.14868804664723,2.796851311953353,5.228279883381925,79.55539358600583,11.26793002915452,1.051399416909621,1.4260349854227408,71.48396501457727,20.402332361516034,4.461807580174927,11.38192419825073,3,Research Card,jake mccarthy|col|mil,2026-07-25 19:10:00-04:00,356.5913087333333,2026-07-25T23:10:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Jose Ramirez,CLE,TB,2.0,DraftKings,-216,PropLine,False,-224.0,-216.0,8.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.5,197.0,0.272,0.456,0.37,0.256,0.0403877499999999,0.249931,19.674,SI,30.2,matched,179.0,6.0,1.0,matched,0.6909,0.6509,-0.0331,-0.04,478,0.5481,0.5951,-0.0469,1.0,-186,0.6835443037974683,-0.0326,Pass,Pass,0.6718,0.0209,-205,-0.0118,Pass,Pass,PA Context Blend,0.2339,0.2334,0.6723,0.0214,-205,0.6835,-0.0112,Pass,Pass,0.5884,-0.0624691823899371,-0.0951,-143,Pass,Improving,,New,Downgrade,159,0.6226415094339622,0.8192,-0.469,0.3143,False,0.6523,0.6448,0.6835,-0.0387,-182,Pass,Pass,53.27,62.28769841269842,65.2625,40.58125,50.36492653707054,49.68671132075472,50.6,-0.0013,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,2.0,4.5,"{""3"": 0.0155, ""4"": 0.366, ""5"": 0.5, ""6"": 0.1186}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2351, 0.2349, 0.2345], ""4"": [0.2351, 0.2349, 0.2345, 0.2336], ""5"": [0.2351, 0.2349, 0.2345, 0.2336, 0.2334], ""6"": [0.2351, 0.2349, 0.2345, 0.2336, 0.2334, 0.2334]}","{""3"": 0.552, ""4"": 0.6566, ""5"": 0.7368, ""6"": 0.7982}",0.2351,0.2334,0.7119,0.6835,0.0284,-247,Pass,Pass,True,False,balanced PA path,0.6521,65-67.4,0.0598,0.0091,0.1194,0.6186,0.1501,-0.0017,23.18,65,False,7,False,True,True,better PA path than blended model; passes path filter,0.6575,0.6559,0.0,57.53,15.63,55.03,71.6,52.3,42.84,49.4,52.1,Improving Contact,Neutral Offense,Contact Vulnerable,Contact Edge,0.0016,-0.0029,-0.0044,-0.0056,0.6503,0.6835,-0.0332,-186,54.3,Pass,Pass,PA opportunity,False,0.6835443037974683,-0.08,0.6035,-0.08,-152,Pass,Avoid / Overpriced,88,,balanced_hitter,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:slot_2 (-3.0%, n=2051); opportunity:top_2 (-3.0%, n=3916)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,2.0,24.0,tracked average pending lineup,Nick Martinez,RHP,5.0,,,,2026-07-25,jose ramirez,2.0,0.6835443037974683,0.6492375,0.7119,0.5884,0.12349999999999994,6,3,-0.03430680379746831,,,,,,,,,,,,,,,,,,4.562267839687195,11.198240469208212,9.436852394916912,10.364027370478984,41.32453567937439,1.2128054740957963,8.001759530791789,20.42507331378299,6.635972629521016,0.5201759530791789,0.613201368523949,74.00879765395894,25.0,10.656109481915934,17.65786901270772,4,Research Card,jose ramirez|cle|tb,2026-07-25 18:10:00-04:00,296.5913087333333,2026-07-25T22:10:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Mike Trout,LAA,SF,2.0,DraftKings,-184,PropLine,False,-193.0,-184.0,9.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.5,195.0,0.258,0.596,0.427,0.235,-0.0940120499999999,0.213144,29.061100000000007,FF,45.9,matched,99.0,7.0,1.0,matched,0.6975,0.6685,-0.0327,-0.029,516,0.5891,0.6181,-0.029,1.0,-202,0.647887323943662,0.0206,Pass,Pass,0.6765,0.008,-209,0.0287,Pass,Pass,PA Context Blend,0.2306,0.2296,0.6657,-0.0028,-199,0.6479,0.0179,Pass,Pass,0.7235,0.055,0.0756,-262,B+,Strong/Locked,,New,Upgrade,6,0.8333333333333334,1.6914,-0.29,-0.2857,False,0.6779,0.6302,0.6479,-0.0177,-170,Pass,Pass,64.74,75.37103174603175,65.2625,58.925,55.98883677062374,62.175575,73.45,0.0073,-0.055,Strong,Value,Avoid/Fade,206,0.6019417475728155,False,PA Path Alpha,2.0,4.5,"{""3"": 0.0155, ""4"": 0.366, ""5"": 0.5, ""6"": 0.1186}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2338, 0.2336, 0.2326], ""4"": [0.2338, 0.2336, 0.2326, 0.2307], ""5"": [0.2338, 0.2336, 0.2326, 0.2307, 0.2304], ""6"": [0.2338, 0.2336, 0.2326, 0.2307, 0.2304, 0.2304]}","{""3"": 0.5494, ""4"": 0.6533, ""5"": 0.7332, ""6"": 0.7947}",0.2339,0.2304,0.7085,0.6479,0.0606,-243,B,Lineup Wait,True,False,balanced PA path,0.6786,67.5-69.9,0.0299,0.0258,0.1262,0.6186,0.1383,-0.0035,21.41,78,False,8,False,True,True,better PA path than blended model; passes path filter,0.6766,0.674,0.0,61.0,66.2,45.43,71.6,59.3,58.25,59.6,59.7,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,0.0065,0.0047,0.0036,0.0148,0.6888,0.6479,0.0409,-221,66.5,B+,Lineup/Price Watch,PA opportunity,False,0.647887323943662,-0.08,0.5679,-0.08,-131,Pass,Avoid / Overpriced,88,,fly_ball_slugger,average_k_pitcher,,"market_pricing:-171_to_-200 (-4.0%, n=2845); opportunity:slot_2 (-3.0%, n=2051); opportunity:top_2 (-3.0%, n=3916)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,2.0,40.0,tracked average pending lineup,Robbie Ray,LHP,5.0,,,,2026-07-25,mike trout,2.0,0.647887323943662,0.6661999999999999,0.7235,0.5679,0.15560000000000007,7,6,0.018312676056337907,1044.0,0.3046685823754789,0.2271609195402298,29.5764367816092,14.140421455938698,5.190229885057471,91.04157088122606,49.36666666666667,26.90306513409962,32.77452107279694,31.93946360153257,27.731226053639848,49.406130268199234,22.85057471264368,1.003448275862069,0.4346743295019157,13.334616858237547,5.190229885057471,29.5764367816092,14.19367816091954,8.339463601532568,41.503831417624525,2.096704980842912,2.9076628352490426,16.564750957854407,7.149808429118775,0.4889272030651341,0.6084674329501916,49.4080459770115,26.703065134099617,16.122413793103448,13.603448275862071,5,Research Card,mike trout|laa|sf,2026-07-25 16:05:00-04:00,171.59130873333334,2026-07-25T20:05:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Nathan Lukes,TOR,BOS,1.74,DraftKings,-230,PropLine,False,-213.0,-230.0,-17.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.53,56.0,0.26,0.344,0.281,0.294,-0.0725999999999999,0.19,15.7,FC,23.5,matched,204.0,8.0,1.0,matched,0.6788,0.6388,-0.0338,-0.04,500,0.592,0.6335,-0.0415,1.0,-177,0.696969696969697,-0.0582,Pass,Pass,0.6609,0.0221,-195,-0.0361,Pass,Pass,PA Context Blend,0.231,0.2301,0.669,0.0302,-202,0.697,-0.0279,Pass,Pass,0.5763,-0.0624691823899371,-0.1207,-136,Pass,Improving,,New,Downgrade,159,0.6226415094339622,-0.131,-0.415,1.4,False,0.6423,0.63,0.697,-0.067,-170,Pass,Pass,46.8,48.03518518518519,61.18750000000001,34.818749999999994,45.14849837662337,48.44276132075471,42.92,-0.0062,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,1.74,4.53,"{""3"": 0.0065, ""4"": 0.357, ""5"": 0.509, ""6"": 0.1275}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2312, 0.2311, 0.2307], ""4"": [0.2312, 0.2311, 0.2307, 0.23], ""5"": [0.2312, 0.2311, 0.2307, 0.23, 0.2299], ""6"": [0.2312, 0.2311, 0.2307, 0.23, 0.2299, 0.2299]}","{""3"": 0.5453, ""4"": 0.6499, ""5"": 0.7304, ""6"": 0.7924}",0.2313,0.2299,0.7083,0.697,0.0114,-243,Pass,Pass,True,False,balanced PA path,0.6421,62.5-64.9,0.0662,-0.031,0.1303,0.6365,0.1576,-0.0014,14.07,123,False,9,False,True,True,better PA path than blended model; passes path filter,0.6479,0.6441,0.0344,49.45,16.71,72.4,67.07,46.7,36.73,49.62,53.51,Neutral,Neutral Offense,Blow-Up Risk,Damage Edge,-0.0023,-0.0015,-0.0042,-0.008,0.6361,0.697,-0.0609,-175,54.2,Pass,Pass,pitcher vulnerability; PA opportunity,False,0.696969696969697,-0.08,0.617,-0.08,-161,Pass,Avoid / Overpriced,88,,rookie_limited_sample,high_xba_allowed_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:top_2 (-3.0%, n=3916); opportunity:top_3 (-3.0%, n=6177)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.7352941176470589,34.0,tracked average pending lineup,Sonny Gray,RHP,5.0,,,,2026-07-25,nathan lukes,1.74,0.696969696969697,0.64205,0.7083,0.5763,0.132,5,3,-0.05491969696969701,560.0,0.2807517857142857,0.1488142857142857,13.929464285714284,9.30625,2.2905357142857143,86.42178571428572,35.753392857142856,23.50410714285714,42.81482142857144,24.29053571428571,24.61875,53.49339285714286,21.80964285714285,-0.345,0.1675,4.281553571428572,2.2905357142857143,13.929464285714284,9.30625,7.477142857142857,32.9,1.5065892857142855,6.609464285714286,37.613214285714285,6.6475,0.7966607142857143,1.076,72.65714285714286,23.096428571428568,6.383035714285714,10.685714285714289,6,Qualified Pool,nathan lukes|tor|bos,2026-07-25 16:10:00-04:00,176.59130873333334,2026-07-25T20:10:00Z,2026-07-25,LIVE,Still live; not inside lock window.
Nico Hoerner,CHC,PIT,1.61,DraftKings,-221,PropLine,False,-221.0,-221.0,0.0,4.0,2026-07-25T11:30:08,2026-07-25T13:00:11,4.55,193.0,0.298,0.391,0.339,0.172,0.1759381228273464,0.2833777520278099,8.711239860950174,FF,36.5,matched,160.0,7.0,1.0,matched,0.6468,0.6266,-0.0356,-0.0202,439,0.59,0.6102,-0.0202,1.0,-168,0.6884735202492211,-0.0619,Pass,Pass,0.6526,0.026,-188,-0.0359,Pass,Pass,PA Context Blend,0.2267,0.2355,0.6702,0.0436,-203,0.6885,-0.0182,Pass,Pass,0.5616,-0.065,-0.1269,-128,Pass,Neutral,,New,Downgrade,291,0.5326460481099656,0.5663,-0.202,-2.0,False,0.6335,0.6229,0.6885,-0.0656,-165,Pass,Pass,49.13,58.49503968253968,61.62083333333334,34.818749999999994,54.90396111481975,39.628025,42.92,-0.0044,-0.0061959971063419,Neutral,Overpriced,Avoid/Fade,4147,0.6281649385097661,False,PA Path Alpha,1.61,4.55,"{""3"": 0.0051, ""4"": 0.3494, ""5"": 0.5126, ""6"": 0.1329}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2257, 0.2264, 0.2291], ""4"": [0.2257, 0.2264, 0.2291, 0.2342], ""5"": [0.2257, 0.2264, 0.2291, 0.2342, 0.235], ""6"": [0.2257, 0.2264, 0.2291, 0.2342, 0.235, 0.235]}","{""3"": 0.5382, ""4"": 0.6463, ""5"": 0.7294, ""6"": 0.793}",0.2255,0.235,0.7079,0.6885,0.0194,-242,Pass,Pass,True,False,balanced PA path,0.6334,62.5-64.9,0.0745,-0.0225,0.1503,0.6455,0.1666,0.0095,18.79,92,False,10,False,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6404,0.6396,0.0,57.75,19.96,16.63,67.78,49.05,37.15,40.21,41.44,Improving Contact,Neutral Offense,Dominant,Pitcher Advantage,-0.0007,-0.0136,-0.0115,-0.0257,0.6139,0.6885,-0.0746,-159,49.7,Pass,Pass,PA opportunity,False,0.6884735202492211,-0.08,0.6085,-0.08,-155,Pass,Avoid / Overpriced,88,,balanced_hitter,low_xba_allowed_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=3298); opportunity:top_2 (-3.0%, n=3916); opportunity:top_3 (-3.0%, n=6177)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.6111111111111112,18.0,tracked average pending lineup,Paul Skenes,RHP,5.0,,,,2026-07-25,nico hoerner,1.61,0.6884735202492211,0.633025,0.7079,0.5616,0.14629999999999999,3,2,-0.0554485202492212,1978.0,0.3074671385237613,0.0990156723963599,10.040192113245704,6.674266936299292,1.1695652173913045,86.27158746208292,30.56890798786653,26.92588473205258,45.271587462082906,21.18913043478261,23.769666329625885,54.69772497472194,21.53260869565217,1.2636501516683518,0.6980283114256824,11.156673407482304,1.1695652173913045,10.040192113245704,6.674266936299292,6.222901921132456,24.296258847320527,1.487340748230536,9.4633973710819,78.9463599595551,10.301870576339738,0.8313852376137513,0.932649140546006,80.26895854398381,26.620323559150656,3.0454499494438827,13.0,7,Qualified Pool,nico hoerner|chc|pit,2026-07-25 18:40:00-04:00,326.5913087333333,2026-07-25T22:40:00Z,2026-07-25,LIVE,Still live; not inside lock window.
