player,team,opponent,batting_order,sportsbook,odds,odds_source,odds_fallback_used,opening_odds,current_snapshot_odds,odds_movement,odds_snapshot_count,first_odds_seen_at,last_odds_seen_at,projected_pa,batter_pa,batter_xba,batter_est_slg,batter_est_woba,pitcher_xba_allowed,pitch_mix_matchup_score,pitch_mix_weighted_xba,pitch_mix_weighted_whiff,pitch_mix_primary_pitch,pitch_mix_primary_pitch_usage,pitch_mix_data_status,opponent_bullpen_pitches_3d,opponent_bullpen_appearances_3d,opponent_bullpen_fatigue_score,bullpen_fatigue_status,pre_team_trust_model_hit_probability,model_hit_probability,calibration_adjustment,team_trust_adjustment,team_trust_picks,team_trust_hit_rate,team_trust_avg_probability,team_trust_gap,team_trust_sample_weight,fair_odds,implied_probability,edge,grade,confidence,secondary_hit_probability,secondary_delta_vs_primary,secondary_fair_odds,secondary_edge,secondary_grade,secondary_confidence,third_model_name,third_starter_per_pa_hit_probability,third_bullpen_per_pa_hit_probability,third_hit_probability,third_delta_vs_primary,third_fair_odds,third_market_probability,third_edge,third_grade,third_confidence,markov_hit_probability,markov_adjustment,markov_edge,markov_fair_odds,markov_grade,markov_state,prev_markov_state,markov_transition,markov_signal,markov_sample,markov_state_hit_rate,player_process_score,team_regime_score,pitcher_vulnerability_score,markov_pick,edgestate_base_probability,edgestate_hit_probability,edgestate_market_probability,edgestate_edge,edgestate_fair_odds,edgestate_grade,edgestate_confidence,edgestate_factor_score,edgestate_quality_score,edgestate_opportunity_score,edgestate_value_score,edgestate_mean_reversion_score,edgestate_regime_score,edgestate_relative_value_score,edgestate_factor_adjustment,edgestate_bayesian_adjustment,edgestate_setup,edgestate_value_state,edgestate_signal,edgestate_sample,edgestate_bucket_hit_rate,edgestate_pick,pa_path_model_name,pa_path_lineup_slot,pa_path_projected_pa,pa_path_distribution,pa_path_starter_exposure,pa_path_per_pa_probabilities,pa_path_path_probabilities,pa_path_starter_per_pa,pa_path_bullpen_per_pa,pa_path_hit_probability,pa_path_market_probability,pa_path_edge,pa_path_fair_odds,pa_path_grade,pa_path_confidence,pa_path_pass_filter,pa_path_pick,pa_path_notes,pa_path_peer_probability,pa_path_probability_bucket,pa_path_probability_advantage,pa_path_odds_discount,pa_path_projected_pa_peer_delta,pa_path_5plus_weight,pa_path_5plus_peer_delta,pa_path_bullpen_advantage,pa_path_relative_value_score,pa_path_relative_rank,pa_path_relative_top10,pa_path_hitprob_rank,pa_path_hitprob_top5,pa_path_hitprob_top10,pa_path_roi_qualified,pa_path_relative_notes,swing_raw_baseline_probability,swing_bayesian_probability,swing_shrinkage,swing_contact_factor,swing_momentum_factor,swing_matchup_factor,swing_opportunity_factor,swing_regression_factor,swing_market_value_factor,swing_factor_score,swing_regime_confirmation_score,swing_player_regime,swing_team_regime,swing_pitcher_regime,swing_matchup_regime,swing_mean_reversion_adjustment,swing_regime_adjustment,swing_factor_adjustment,swing_total_adjustment,swing_hit_probability,swing_market_probability,swing_edge,swing_fair_odds,swing_confidence_score,swing_grade,swing_recommendation,swing_key_reason,swing_pick,bookbias_market_probability,bookbias_learned_bias,bookbias_model_probability,bookbias_edge,bookbias_fair_odds,bookbias_grade,bookbias_recommendation,bookbias_confidence,bookbias_signal_agreement,bookbias_hitter_archetype,bookbias_pitcher_profile,bookbias_top_positive_buckets,bookbias_top_negative_buckets,bookbias_key_reason,bookbias_bucket_count,bookbias_pick,dashboard_top5_rank,dashboard_top5_pick,trend_fit_rank,trend_fit_pick,market_coverage_status,confirmed_lineup,lineup_status,lineup_source,historical_avg_batting_order,historical_lineup_slot_sample,historical_lineup_slot_source,opposing_pitcher,opposing_pitcher_hand,original_batting_order,actual_batting_order,actual_projected_pa,actual_lineup_source,pick_date,player_key,lineup_slot,implied_probability_calc,model_prob_avg,model_prob_max,model_prob_min,model_prob_spread,agreement_63,agreement_66,avg_model_edge,hist_adv_total_pa,hist_adv_babip,hist_adv_iso,hist_adv_sopct,hist_adv_bbpct,hist_adv_hrpct,hist_adv_ev,hist_adv_hardhpct,hist_adv_ldpct,hist_adv_gbpct,hist_adv_fbpct,hist_adv_pullpct,hist_adv_centpct,hist_adv_oppopct,hist_adv_wpa,hist_adv_cwpa,hist_adv_re24,hist_ratio_hrpct,hist_ratio_sopct,hist_ratio_bbpct,hist_ratio_xbhpct,hist_ratio_x_per_hpct,hist_ratio_so_per_w,hist_ratio_ab_per_so,hist_ratio_ab_per_hr,hist_ratio_ab_per_rbi,hist_ratio_gb_per_fb,hist_ratio_go_per_ao,hist_ratio_ippct,hist_ratio_ldpct,hist_ratio_hr_per_fb,hist_ratio_if_per_fb,roi_edge_card_pick,roi_edge_card_role,roi_edge_key,game_start_local,minutes_to_game,commence_time,roi_edge_snapshot_date,roi_edge_lock_status,roi_edge_lock_reason,roi_edge_locked_at,roi_edge_locked_rank
Sam Antonacci,CWS,DET,1.0,DraftKings,-209,PropLine,False,-209.0,-209.0,0.0,1.0,2026-08-16T11:30:10,2026-08-16T11:30:10,4.62,96.0,0.327,0.488,0.403,0.226,0.204763924050633,0.3177594936708861,17.535443037974684,FF,39.5,matched,166.0,8.0,1.0,matched,0.7028,0.6928,-0.0323,-0.01,589,0.6146,0.6246,-0.01,1.0,-226,0.6763754045307443,0.0164,Pass,Pass,0.6886,-0.0042,-221,0.0122,Pass,Pass,PA Context Blend,0.2364,0.2446,0.6935,0.0007,-226,0.6764,0.0171,Pass,Pass,0.6278,-0.065,-0.0486,-169,Pass,Improving,,New,Downgrade,161,0.6149068322981367,0.9177,-0.1,-0.5429,False,0.6827,0.6428,0.6764,-0.0336,-180,Pass,Pass,59.75,63.76613756613757,73.6375,49.81875,68.8747759188627,49.206575,49.92,0.0036,-0.0434390510948905,Constructive,Fair,Avoid/Fade,1096,0.6240875912408759,False,PA Path Alpha,1.0,4.62,"{""3"": 0.005, ""4"": 0.3219, ""5"": 0.5225, ""6"": 0.1506}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2377, 0.2382, 0.2402], ""4"": [0.2377, 0.2382, 0.2402, 0.2439], ""5"": [0.2377, 0.2382, 0.2402, 0.2439, 0.2444], ""6"": [0.2377, 0.2382, 0.2402, 0.2439, 0.2444, 0.2444]}","{""3"": 0.5588, ""4"": 0.6664, ""5"": 0.7479, ""6"": 0.8095}",0.2375,0.2444,0.73,0.6764,0.0536,-270,B,Playable,True,True,balanced PA path,0.6819,67.5-69.9,0.0481,-0.0008,0.216,0.6731,0.2079,0.0069,26.49,47,False,1,True,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6829,0.6754,0.0233,58.93,22.0,41.31,77.47,53.9,50.76,49.72,51.06,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,0.0027,-0.0039,-0.0041,-0.0053,0.6701,0.6764,-0.0063,-203,69.6,Pass,Pass,PA opportunity,False,0.6763754045307443,-0.08,0.5964,-0.08,-148,Pass,Avoid / Overpriced,100,,star_power_bat,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4556); opportunity:top_2 (-3.0%, n=5559); opportunity:top_3 (-3.0%, n=8917)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,True,confirmed,MLB Starting Lineups Page,1.2142857142857142,56.0,,Drew Anderson,RHP,1.0,1.0,4.62,https://www.mlb.com/starting-lineups/2026-08-16,2026-08-16,sam antonacci,1.0,0.6763754045307443,0.66775,0.73,0.5964,0.1335999999999999,6,5,-0.0086254045307443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Research Card,sam antonacci|cws|det,2026-08-16 13:40:00-04:00,109.5622921,2026-08-16T17:40:00Z,2026-08-16,LOCKED,Inside 120-minute lock window; ROI Edge snapshot is frozen.,2026-08-16T11:50:26-04:00,1
Ben Rice,NYY,TOR,1.0,DraftKings,-153,PropLine,False,-153.0,-153.0,0.0,1.0,2026-08-16T11:30:10,2026-08-16T11:30:10,4.62,160.0,0.297,0.596,0.43,0.213,0.0852021457085829,0.2897774451097805,27.82674650698603,FF,35.6,matched,216.0,13.0,1.0,matched,0.7231,0.6831,-0.0309,-0.04,628,0.5653,0.6093,-0.044,1.0,-216,0.6047430830039525,0.0784,B+,Strong,0.6924,0.0093,-225,0.0876,B+,Strong,PA Context Blend,0.2339,0.238,0.6858,0.0027,-218,0.6047,0.0811,B+,Strong,0.7381,0.055,0.1334,-282,A,Strong/Locked,,New,Upgrade,6,0.8333333333333334,1.8534,-0.44,-0.9143,True,0.6939,0.6505,0.6047,0.0458,-186,Lean,Playable,70.46,77.80070546737213,73.6375,73.78125,71.3066710191982,60.499625,61.1,0.0116,-0.055,Prime,Deep Value,Watch,53,0.490566037735849,False,PA Path Alpha,1.0,4.62,"{""3"": 0.005, ""4"": 0.3219, ""5"": 0.5225, ""6"": 0.1506}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2368, 0.2369, 0.2375], ""4"": [0.2368, 0.2369, 0.2375, 0.2385], ""5"": [0.2368, 0.2369, 0.2375, 0.2385, 0.2386], ""6"": [0.2368, 0.2369, 0.2375, 0.2385, 0.2386, 0.2386]}","{""3"": 0.5559, ""4"": 0.6618, ""5"": 0.7425, ""6"": 0.8039}",0.2367,0.2386,0.7248,0.6047,0.1201,-263,A,Elite,True,True,market mispricing,0.6947,67.5-69.9,0.0301,0.0709,0.216,0.6731,0.2079,0.0019,38.73,13,False,2,True,True,True,cheaper than similar-probability peers; better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6932,0.6885,0.0056,63.97,63.2,35.37,77.47,59.3,74.28,59.99,58.52,Improving Contact,Neutral Offense,Dominant,Pitcher Advantage,0.0065,0.0035,0.0039,0.0139,0.7024,0.6047,0.0977,-236,81.5,A,Bet,relative price; PA opportunity,True,0.6047430830039525,-0.08,0.5247,-0.08,-110,Pass,Avoid / Overpriced,100,,star_power_bat,low_xba_allowed_pitcher,,"market_pricing:-146_to_-170 (-4.0%, n=3190); opportunity:top_2 (-3.0%, n=5559); opportunity:top_3 (-3.0%, n=8917)",market has historically overpriced similar buckets,14,False,1.0,True,1.0,True,Covered,True,confirmed,MLB Starting Lineups Page,1.9428571428571428,70.0,,Dylan Cease,RHP,1.0,1.0,4.62,https://www.mlb.com/starting-lineups/2026-08-16,2026-08-16,ben rice,1.0,0.6047430830039525,0.6752250000000001,0.7381,0.5247,0.2133999999999999,7,6,0.0704819169960475,708.0,0.2496299435028248,0.2274067796610169,20.936440677966104,9.852542372881356,4.648587570621469,92.3954802259887,51.2225988700565,24.39717514124294,38.79435028248588,29.63135593220339,37.22231638418079,50.05254237288136,12.725141242937854,0.3480225988700565,0.8725988700564973,2.7416666666666667,4.648587570621469,20.936440677966104,9.852542372881356,9.99491525423729,49.25141242937853,2.1005649717514125,4.322881355932204,18.930225988700567,7.049152542372882,0.6348587570621469,0.9197175141242938,62.98870056497175,24.497175141242938,12.847457627118644,12.251412429378531,2,Research Card,ben rice|nyy|tor,2026-08-16 13:37:00-04:00,106.5622921,2026-08-16T17:37:00Z,2026-08-16,LOCKED,Inside 120-minute lock window; ROI Edge snapshot is frozen.,2026-08-16T11:50:26-04:00,2
CJ Abrams,WSH,NYM,1.0,DraftKings,-231,PropLine,False,-231.0,-231.0,0.0,1.0,2026-08-16T11:30:10,2026-08-16T11:30:10,4.62,179.0,0.273,0.489,0.374,0.219,0.104590368852459,0.2853073770491803,22.47295081967213,FF,55.0,matched,91.0,6.0,1.0,matched,0.6844,0.654,-0.0335,-0.0304,726,0.5978,0.6282,-0.0304,1.0,-189,0.6978851963746223,-0.0439,Pass,Pass,0.6768,0.0228,-209,-0.0211,Pass,Pass,PA Context Blend,0.2307,0.2324,0.678,0.024,-211,0.6979,-0.0199,Pass,Pass,0.589,-0.065,-0.1089,-143,Pass,Improving,,New,Downgrade,161,0.6149068322981367,0.9903,-0.304,-0.7429,False,0.6561,0.6479,0.6979,-0.05,-184,Pass,Pass,53.95,64.85451388888889,73.6375,37.8875,50.01104040785499,47.41505,48.44,-0.0008,-0.0073920020818875,Neutral,Overpriced,Avoid/Fade,5764,0.6259541984732825,False,PA Path Alpha,1.0,4.62,"{""3"": 0.005, ""4"": 0.3219, ""5"": 0.5225, ""6"": 0.1506}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2321, 0.2321, 0.2322], ""4"": [0.2321, 0.2321, 0.2322, 0.2325], ""5"": [0.2321, 0.2321, 0.2322, 0.2325, 0.2326], ""6"": [0.2321, 0.2321, 0.2322, 0.2325, 0.2326, 0.2326]}","{""3"": 0.5473, ""4"": 0.6525, ""5"": 0.7333, ""6"": 0.7954}",0.232,0.2326,0.7157,0.6979,0.0179,-252,Pass,Pass,True,False,balanced PA path,0.6559,65-67.4,0.0598,-0.033,0.1775,0.6731,0.1613,0.0006,19.39,91,False,6,False,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6613,0.6595,0.0003,57.96,17.92,38.11,77.47,53.95,39.96,46.99,49.1,Improving Contact,Neutral Offense,Dominant,Pitcher Advantage,0.0028,-0.0059,-0.0062,-0.0094,0.6501,0.6979,-0.0478,-186,68.2,Pass,Pass,PA opportunity,False,0.6978851963746223,-0.08,0.6179,-0.08,-162,Pass,Avoid / Overpriced,100,,fly_ball_slugger,low_xba_allowed_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4556); opportunity:top_2 (-3.0%, n=5559); opportunity:top_3 (-3.0%, n=8917)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,True,confirmed,MLB Starting Lineups Page,3.788732394366197,71.0,,Christian Scott,RHP,1.0,1.0,4.62,https://www.mlb.com/starting-lineups/2026-08-16,2026-08-16,cj abrams,1.0,0.6978851963746223,0.6536749999999999,0.7157,0.589,0.1267,6,3,-0.0442101963746224,1851.0,0.286783360345759,0.1765921123716909,20.054511075094545,5.861156131820637,3.0643976229065366,87.77396002160994,38.65823878984333,22.346461372231225,41.15726634251756,27.07233927606699,34.675688816855754,50.06218260399784,15.262128579146406,0.3679632631010265,0.1991896272285251,2.024737979470556,3.0643976229065366,20.054511075094545,5.861156131820637,8.969584008643977,39.66180443003782,3.4242895732036738,4.536250675310643,29.65958941112912,8.946137223122637,0.7097406807131281,0.8503403565640195,68.35602377093463,22.679632631010264,8.720043219881145,15.320367368989736,4,Research Card,cj abrams|wsh|nym,2026-08-16 13:40:00-04:00,109.5622921,2026-08-16T17:40:00Z,2026-08-16,LOCKED,Inside 120-minute lock window; ROI Edge snapshot is frozen.,2026-08-16T11:50:26-04:00,4
Elly De La Cruz,CIN,MIA,1.0,DraftKings,-194,PropLine,False,-187.0,-194.0,-7.0,3.0,2026-08-16T11:30:10,2026-08-16T13:00:25,4.54,191.0,0.283,0.512,0.373,0.233,0.0102134634634634,0.2576556556556556,28.32032032032032,FF,49.3,matched,176.0,8.0,1.0,matched,0.6969,0.6569,-0.0327,-0.04,614,0.5651,0.6099,-0.0447,1.0,-191,0.6598639455782312,-0.003,Pass,Pass,0.6774,0.0205,-210,0.0175,Pass,Pass,PA Context Blend,0.2329,0.2351,0.6759,0.019,-209,0.6599,0.016,Pass,Pass,0.5919,-0.065,-0.068,-145,Pass,Improving,,New,Downgrade,161,0.6149068322981367,1.1795,-0.447,-0.3429,False,0.6573,0.6161,0.6599,-0.0438,-160,Pass,Pass,57.95,67.69246031746032,71.90416666666667,47.65625,56.23026147959184,49.45715,53.0,0.0022,-0.0434390510948905,Constructive,Fair,Avoid/Fade,1096,0.6240875912408759,False,PA Path Alpha,1.0,4.54,"{""3"": 0.0256, ""4"": 0.3753, ""5"": 0.4881, ""6"": 0.111}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.235, 0.235, 0.2351], ""4"": [0.235, 0.235, 0.2351, 0.2354], ""5"": [0.235, 0.235, 0.2351, 0.2354, 0.2354], ""6"": [0.235, 0.235, 0.2351, 0.2354, 0.2354, 0.2354]}","{""3"": 0.5523, ""4"": 0.6577, ""5"": 0.7383, ""6"": 0.7999}",0.2349,0.2354,0.7101,0.6599,0.0503,-245,B,Playable,True,True,balanced PA path,0.6571,65-67.4,0.053,0.0093,0.0936,0.5991,0.0785,0.0005,24.87,61,False,7,False,True,True,better PA path than blended model; passes path filter,0.6585,0.6568,0.0,59.05,15.06,44.51,74.62,55.1,48.62,48.71,50.17,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,0.0036,-0.0048,-0.0049,-0.0062,0.6506,0.6599,-0.0093,-186,68.6,Pass,Pass,PA opportunity,False,0.6598639455782312,-0.08,0.5799,-0.08,-138,Pass,Avoid / Overpriced,100,,star_power_bat,average_k_pitcher,,"market_pricing:-171_to_-200 (-4.0%, n=3981); opportunity:top_2 (-3.0%, n=5559); opportunity:top_3 (-3.0%, n=8917)",market has historically overpriced similar buckets,13,False,,False,,False,Covered,True,confirmed,MLB Starting Lineups Page,1.2545454545454546,55.0,,Eury Pérez,RHP,1.0,1.0,4.54,https://www.mlb.com/starting-lineups/2026-08-16,2026-08-16 00:00:00,elly de la cruz,1.0,0.6598639455782312,0.64485,0.7101,0.5799,0.1301999999999999,5,3,-0.0150139455782312,1822.0,0.3451695938529089,0.1895175631174533,29.790779363336995,9.38649835345774,3.2675631174533484,90.7678924259056,45.29484083424808,23.80686059275521,49.70192096597147,21.780461031833152,32.904281009879256,51.06218441273326,16.03353457738749,0.2372667398463227,0.1277716794731065,13.925455543358948,3.3059275521405054,29.790779363336995,9.38649835345774,9.117453347969263,39.75905598243688,3.2061635565312843,3.045115257958288,27.39143798024149,7.957135016465424,1.0149176728869376,1.4899780461031833,56.68551042810098,23.99835345773875,12.139297475301866,8.682217343578486,5,Research Card,elly de la cruz|cin|mia,2026-08-16 13:40:00-04:00,24.73249858333333,2026-08-16T17:40:00Z,2026-08-16,LOCKED,Inside 120-minute lock window; ROI Edge snapshot is frozen.,2026-08-16T13:15:16-04:00,5
William Contreras,MIL,LAD,1.0,DraftKings,-173,Action Network,True,-173.0,-173.0,0.0,1.0,2026-08-16T16:30:10,2026-08-16T16:30:10,4.62,169.0,0.286,0.436,0.347,0.262,0.1400266000000001,0.29529,20.1138,FF,39.0,matched,177.0,9.0,1.0,matched,0.7078,0.6765,-0.032,-0.0313,628,0.5908,0.6221,-0.0313,1.0,-209,0.6336996336996337,0.0428,Lean,Pass,0.6838,0.0073,-216,0.0501,B,Playable,PA Context Blend,0.2357,0.2367,0.6866,0.0101,-219,0.6337,0.0529,B,Playable,0.6115,-0.065,-0.0222,-157,Pass,Improving,,New,Downgrade,161,0.6149068322981367,0.6561,-0.313,0.4857,False,0.6715,0.6201,0.6337,-0.0136,-163,Pass,Pass,59.76,59.84156746031746,73.6375,57.725,61.96682692307692,50.58245,53.6,0.0036,-0.055,Constructive,Value,Avoid/Fade,734,0.5326975476839237,False,PA Path Alpha,1.0,4.62,"{""3"": 0.005, ""4"": 0.3219, ""5"": 0.5225, ""6"": 0.1506}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2367, 0.2367, 0.2367], ""4"": [0.2367, 0.2367, 0.2367, 0.2366], ""5"": [0.2367, 0.2367, 0.2367, 0.2366, 0.2366], ""6"": [0.2367, 0.2367, 0.2367, 0.2366, 0.2366, 0.2366]}","{""3"": 0.5553, ""4"": 0.6605, ""5"": 0.7408, ""6"": 0.8021}",0.2367,0.2366,0.7233,0.6337,0.0896,-261,B+,Strong,True,True,market mispricing,0.671,65-67.4,0.0523,0.0552,0.1417,0.6731,0.1309,-0.0001,36.42,21,False,7,False,True,True,cheaper than similar-probability peers; better PA path than blended model; passes path filter,0.6712,0.6684,0.0031,56.65,17.74,57.77,77.47,51.3,58.87,52.54,54.12,Improving Contact,Neutral Offense,Contact Vulnerable,Contact Edge,0.0009,-0.0009,-0.0019,-0.0019,0.6666,0.6337,0.0329,-200,78.1,B,Watch,PA opportunity,False,0.6336996336996337,-0.08,0.5537,-0.08,-124,Pass,Avoid / Overpriced,100,,balanced_hitter,average_k_pitcher,,"market_pricing:-171_to_-200 (-4.0%, n=3981); opportunity:top_2 (-3.0%, n=5559); opportunity:top_3 (-3.0%, n=8917)",market has historically overpriced similar buckets,14,False,,False,,False,Covered (Action Network fallback),True,confirmed,MLB Starting Lineups Page,3.761904761904762,63.0,,Tarik Skubal,LHP,1.0,1.0,4.62,https://www.mlb.com/starting-lineups/2026-08-16,2026-08-16 00:00:00,william contreras,1.0,0.6336996336996337,0.6527624999999999,0.7233,0.5537,0.16960000000000008,5,5,0.019062866300366244,1949.0,0.3251611082606464,0.1647685992816829,19.75366854797332,11.52955361723961,2.941405849153412,91.72360184710108,49.16782965623396,21.77506413545408,53.15895330938943,20.491174961518727,24.94494612621857,55.44812724474089,19.675577219086712,1.1817855310415597,0.3780913288866084,20.301903540277063,2.941405849153412,19.75366854797332,11.563365828630063,8.353668547973319,34.657773217034375,1.730625962031811,4.435248845561826,30.25171883016932,6.9297075423294,1.1447101077475628,1.5773268342739868,64.98973832734735,21.70087224217547,10.324012314007184,10.672139558748077,3,Research Card,william contreras|mil|lad,2026-08-16 16:10:00-04:00,-34.9736587,2026-08-16T20:10:00.000Z,2026-08-16,LOCKED,Game has started; ROI Edge snapshot is frozen.,2026-08-16T16:44:58-04:00,3
