player,team,opponent,batting_order,sportsbook,odds,odds_source,odds_fallback_used,opening_odds,current_snapshot_odds,odds_movement,odds_snapshot_count,first_odds_seen_at,last_odds_seen_at,projected_pa,batter_pa,batter_xba,batter_est_slg,batter_est_woba,pitcher_xba_allowed,pitch_mix_matchup_score,pitch_mix_weighted_xba,pitch_mix_weighted_whiff,pitch_mix_primary_pitch,pitch_mix_primary_pitch_usage,pitch_mix_data_status,opponent_bullpen_pitches_3d,opponent_bullpen_appearances_3d,opponent_bullpen_fatigue_score,bullpen_fatigue_status,pre_team_trust_model_hit_probability,model_hit_probability,calibration_adjustment,team_trust_adjustment,team_trust_picks,team_trust_hit_rate,team_trust_avg_probability,team_trust_gap,team_trust_sample_weight,fair_odds,implied_probability,edge,grade,confidence,secondary_hit_probability,secondary_delta_vs_primary,secondary_fair_odds,secondary_edge,secondary_grade,secondary_confidence,third_model_name,third_starter_per_pa_hit_probability,third_bullpen_per_pa_hit_probability,third_hit_probability,third_delta_vs_primary,third_fair_odds,third_market_probability,third_edge,third_grade,third_confidence,markov_hit_probability,markov_adjustment,markov_edge,markov_fair_odds,markov_grade,markov_state,prev_markov_state,markov_transition,markov_signal,markov_sample,markov_state_hit_rate,player_process_score,team_regime_score,pitcher_vulnerability_score,markov_pick,edgestate_base_probability,edgestate_hit_probability,edgestate_market_probability,edgestate_edge,edgestate_fair_odds,edgestate_grade,edgestate_confidence,edgestate_factor_score,edgestate_quality_score,edgestate_opportunity_score,edgestate_value_score,edgestate_mean_reversion_score,edgestate_regime_score,edgestate_relative_value_score,edgestate_factor_adjustment,edgestate_bayesian_adjustment,edgestate_setup,edgestate_value_state,edgestate_signal,edgestate_sample,edgestate_bucket_hit_rate,edgestate_pick,pa_path_model_name,pa_path_lineup_slot,pa_path_projected_pa,pa_path_distribution,pa_path_starter_exposure,pa_path_per_pa_probabilities,pa_path_path_probabilities,pa_path_starter_per_pa,pa_path_bullpen_per_pa,pa_path_hit_probability,pa_path_market_probability,pa_path_edge,pa_path_fair_odds,pa_path_grade,pa_path_confidence,pa_path_pass_filter,pa_path_pick,pa_path_notes,pa_path_peer_probability,pa_path_probability_bucket,pa_path_probability_advantage,pa_path_odds_discount,pa_path_projected_pa_peer_delta,pa_path_5plus_weight,pa_path_5plus_peer_delta,pa_path_bullpen_advantage,pa_path_relative_value_score,pa_path_relative_rank,pa_path_relative_top10,pa_path_hitprob_rank,pa_path_hitprob_top5,pa_path_hitprob_top10,pa_path_roi_qualified,pa_path_relative_notes,swing_raw_baseline_probability,swing_bayesian_probability,swing_shrinkage,swing_contact_factor,swing_momentum_factor,swing_matchup_factor,swing_opportunity_factor,swing_regression_factor,swing_market_value_factor,swing_factor_score,swing_regime_confirmation_score,swing_player_regime,swing_team_regime,swing_pitcher_regime,swing_matchup_regime,swing_mean_reversion_adjustment,swing_regime_adjustment,swing_factor_adjustment,swing_total_adjustment,swing_hit_probability,swing_market_probability,swing_edge,swing_fair_odds,swing_confidence_score,swing_grade,swing_recommendation,swing_key_reason,swing_pick,bookbias_market_probability,bookbias_learned_bias,bookbias_model_probability,bookbias_edge,bookbias_fair_odds,bookbias_grade,bookbias_recommendation,bookbias_confidence,bookbias_signal_agreement,bookbias_hitter_archetype,bookbias_pitcher_profile,bookbias_top_positive_buckets,bookbias_top_negative_buckets,bookbias_key_reason,bookbias_bucket_count,bookbias_pick,dashboard_top5_rank,dashboard_top5_pick,trend_fit_rank,trend_fit_pick,market_coverage_status,confirmed_lineup,lineup_status,lineup_source,historical_avg_batting_order,historical_lineup_slot_sample,historical_lineup_slot_source,opposing_pitcher,opposing_pitcher_hand,original_batting_order,actual_batting_order,actual_projected_pa,actual_lineup_source,pick_date,player_key,lineup_slot,implied_probability_calc,model_prob_avg,model_prob_max,model_prob_min,model_prob_spread,agreement_63,agreement_66,avg_model_edge,hist_adv_total_pa,hist_adv_babip,hist_adv_iso,hist_adv_sopct,hist_adv_bbpct,hist_adv_hrpct,hist_adv_ev,hist_adv_hardhpct,hist_adv_ldpct,hist_adv_gbpct,hist_adv_fbpct,hist_adv_pullpct,hist_adv_centpct,hist_adv_oppopct,hist_adv_wpa,hist_adv_cwpa,hist_adv_re24,hist_ratio_hrpct,hist_ratio_sopct,hist_ratio_bbpct,hist_ratio_xbhpct,hist_ratio_x_per_hpct,hist_ratio_so_per_w,hist_ratio_ab_per_so,hist_ratio_ab_per_hr,hist_ratio_ab_per_rbi,hist_ratio_gb_per_fb,hist_ratio_go_per_ao,hist_ratio_ippct,hist_ratio_ldpct,hist_ratio_hr_per_fb,hist_ratio_if_per_fb,roi_edge_card_pick,roi_edge_card_role,roi_edge_key,game_start_local,minutes_to_game,commence_time,roi_edge_snapshot_date,roi_edge_lock_status,roi_edge_lock_reason
Jeremy Pena,HOU,SD,1.06,DraftKings,-226,PropLine,False,-234.0,-226.0,8.0,13.0,2026-08-07T11:30:10,2026-08-07T17:31:59,4.61,46.0,0.33,0.449,0.36,0.235,0.269348275862069,0.3567068965517241,21.72586206896552,FF,45.9,matched,207.0,10.0,1.0,matched,0.6745,0.6427,-0.0341,-0.0318,609,0.5796,0.6114,-0.0318,1.0,-180,0.6932515337423313,-0.0506,Pass,Pass,0.6719,0.0292,-205,-0.0214,Pass,Pass,PA Context Blend,0.2309,0.243,0.6857,0.043,-218,0.6933,-0.0075,Pass,Pass,0.5777,-0.065,-0.1156,-137,Pass,Neutral,,New,Downgrade,306,0.5392156862745098,0.3241,-0.318,-0.2857,False,0.6504,0.6445,0.6933,-0.0488,-181,Pass,Pass,51.91,55.70744047619048,62.92083333333335,37.80625,63.35866673970203,44.805275,44.31,-0.0023,-0.0035455138339921,Neutral,Overpriced,Avoid/Fade,5060,0.6302371541501977,False,PA Path Alpha,1.06,4.61,"{""3"": 0.005, ""4"": 0.3257, ""5"": 0.5211, ""6"": 0.1481}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2315, 0.2324, 0.2357], ""4"": [0.2315, 0.2324, 0.2357, 0.2419], ""5"": [0.2315, 0.2324, 0.2357, 0.2419, 0.2428], ""6"": [0.2315, 0.2324, 0.2357, 0.2419, 0.2428, 0.2428]}","{""3"": 0.5491, ""4"": 0.6582, ""5"": 0.7412, ""6"": 0.804}",0.2312,0.2428,0.7224,0.6933,0.0292,-260,Pass,Pass,True,False,balanced PA path,0.6503,65-67.4,0.0721,-0.0086,0.1821,0.6692,0.1617,0.0116,21.85,74,False,4,True,True,True,better PA path than blended model; extra PA volume versus peer bucket; late bullpen path advantage; passes path filter,0.6575,0.6518,0.0372,53.39,17.64,45.43,69.91,51.95,40.46,46.2,48.03,Neutral,Neutral Offense,Stable / Neutral,Neutral,0.0014,-0.007,-0.0068,-0.0124,0.6393,0.6933,-0.054,-177,52.1,Pass,Pass,PA opportunity,False,0.6932515337423313,-0.08,0.6133,-0.08,-159,Pass,Avoid / Overpriced,88,,rookie_limited_sample,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4016); opportunity:top_2 (-3.0%, n=4847); opportunity:top_3 (-3.0%, n=7713)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.0638297872340423,47.0,tracked average pending lineup,Robbie Ray,LHP,5.0,,,,2026-08-07,jeremy pena,1.06,0.6932515337423313,0.6496875,0.7224,0.5777,0.14470000000000005,6,3,-0.04356403374233131,,,,,,,,,,,,,,,,,,2.2948549534756437,18.245155993431855,5.679091406677614,7.593541324575807,30.180076628352488,3.411264367816092,5.057963875205254,42.90848385331144,9.289217296113849,1.029272030651341,1.3251888341543514,71.37328954570334,22.64422550629447,7.028352490421455,10.611932129173509,1,Research Card,jeremy pena|hou|sd,2026-08-07 21:40:00-04:00,234.0846306166667,2026-08-08T01:40:00Z,2026-08-07,LIVE,Still live; not inside lock window.
Brice Turang,MIL,MIN,1.0,DraftKings,-232,PropLine,False,-214.0,-232.0,-18.0,13.0,2026-08-07T11:30:10,2026-08-07T17:31:59,4.54,171.0,0.291,0.527,0.406,,0.135398998998999,0.2905175175175175,19.002802802802805,FF,45.9,matched,129.0,9.0,1.0,matched,0.7174,0.7006,-0.0313,-0.0168,531,0.6064,0.6232,-0.0168,1.0,-234,0.6987951807228916,0.0018,Pass,Pass,0.6873,-0.0133,-220,-0.0115,Pass,Pass,PA Context Blend,0.2369,0.2381,0.6824,-0.0182,-215,0.6988,-0.0164,Pass,Pass,0.7556,0.055,0.0568,-309,B,Strong/Locked,,New,Upgrade,6,0.8333333333333334,1.4845,-0.168,0.0,True,0.7009,0.6701,0.6988,-0.0287,-203,Pass,Pass,63.24,72.26750992063492,71.90416666666667,51.91875,61.07683681153184,63.354275,55.4,0.0062,-0.0369379999999999,Strong,Fair,Avoid/Fade,100,0.67,False,PA Path Alpha,1.0,4.54,"{""3"": 0.0256, ""4"": 0.3753, ""5"": 0.4881, ""6"": 0.111}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2392, 0.2391, 0.2389], ""4"": [0.2392, 0.2391, 0.2389, 0.2384], ""5"": [0.2392, 0.2391, 0.2389, 0.2384, 0.2383], ""6"": [0.2392, 0.2391, 0.2389, 0.2384, 0.2383, 0.2383]}","{""3"": 0.5593, ""4"": 0.6644, ""5"": 0.7444, ""6"": 0.8053}",0.2392,0.2383,0.7164,0.6988,0.0176,-253,Pass,Pass,True,False,balanced PA path,0.7012,70+,0.0152,0.0168,0.075,0.5991,0.0914,-0.0009,20.06,87,False,6,False,True,True,better PA path than blended model; passes path filter,0.6994,0.695,0.0025,62.26,68.64,50.0,74.62,55.85,50.87,60.59,62.45,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,0.0041,0.0075,0.0043,0.0159,0.7109,0.6988,0.0121,-246,74.4,C,Pass,PA opportunity,False,0.6987951807228916,-0.08,0.6188,-0.08,-162,Pass,Avoid / Overpriced,100,,star_power_bat,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4016); opportunity:top_2 (-3.0%, n=4847); opportunity:top_3 (-3.0%, n=7713)",market has historically overpriced similar buckets,13,False,,False,,False,Covered,True,confirmed,MLB Starting Lineups Page,2.426470588235294,68.0,,Zebby Matthews,RHP,1.0,1.0,4.54,https://www.mlb.com/starting-lineups/2026-08-07,2026-08-07,brice turang,1.0,0.6987951807228916,0.6927625,0.7556,0.6188,0.13680000000000003,7,7,-0.006032680722891648,1726.0,0.3130753186558517,0.1114797219003476,20.252723059096176,8.929258400926999,1.762804171494786,86.4058516801854,35.82132097334879,24.663441483198145,45.45869061413673,22.63702201622248,23.571958285052144,54.102259559675545,22.26164542294322,-0.4378910776361529,-0.3922363847045191,3.2095422943221337,1.762804171494786,20.252723059096176,8.929258400926999,5.869640787949015,25.48899188876014,2.260944380069525,4.5059096176129785,58.49368482039397,9.352375434530709,0.8961471610660487,1.0570336037079953,68.26593279258401,24.38180764774044,5.434183082271147,8.770567786790266,2,Research Card,brice turang|mil|min,2026-08-07 19:40:00-04:00,114.08463061666666,2026-08-07T23:40:00Z,2026-08-07,LIVE,Still live; not inside lock window.
Fernando Tatis Jr.,SD,HOU,1.1,DraftKings,-231,PropLine,False,-223.0,-231.0,-8.0,13.0,2026-08-07T11:30:10,2026-08-07T17:31:59,4.61,175.0,0.277,0.404,0.351,,,,,,,missing player/pitcher pitch mix,90.0,6.0,1.0,matched,0.6863,0.6463,-0.0334,-0.04,599,0.5543,0.6029,-0.0486,1.0,-183,0.6978851963746223,-0.0516,Pass,Pass,0.6725,0.0262,-205,-0.0254,Pass,Pass,PA Context Blend,0.2322,0.2337,0.6798,0.0335,-212,0.6979,-0.0181,Pass,Pass,0.5813,-0.065,-0.1166,-139,Pass,Improving,,New,Downgrade,160,0.61875,0.4952,-0.486,0.0,False,0.6512,0.6438,0.6979,-0.0541,-181,Pass,Pass,49.83,57.42862654320988,62.92083333333335,36.76875,49.76796005071213,46.1843,43.83,-0.0039,-0.0035455138339921,Neutral,Overpriced,Avoid/Fade,5060,0.6302371541501977,False,PA Path Alpha,1.1,4.61,"{""3"": 0.005, ""4"": 0.3257, ""5"": 0.5211, ""6"": 0.1481}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2323, 0.2324, 0.2327], ""4"": [0.2323, 0.2324, 0.2327, 0.2333], ""5"": [0.2323, 0.2324, 0.2327, 0.2333, 0.2334], ""6"": [0.2323, 0.2324, 0.2327, 0.2333, 0.2334, 0.2334]}","{""3"": 0.5478, ""4"": 0.6533, ""5"": 0.7342, ""6"": 0.7962}",0.2323,0.2334,0.716,0.6979,0.0182,-252,Pass,Pass,True,False,balanced PA path,0.6511,65-67.4,0.0649,-0.0132,0.1821,0.6692,0.1617,0.0011,18.61,104,False,7,False,True,True,better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6573,0.6555,0.0014,56.23,14.28,50.0,69.91,49.7,39.0,46.79,49.67,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,-0.0002,-0.0053,-0.0064,-0.0119,0.6436,0.6979,-0.0543,-181,52.9,Pass,Pass,PA opportunity,False,0.6978851963746223,-0.08,0.6179,-0.08,-162,Pass,Avoid / Overpriced,88,,balanced_hitter,average_k_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4016); opportunity:top_2 (-3.0%, n=4847); opportunity:top_3 (-3.0%, n=7713)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,False,Lineup Wait,,1.103448275862069,58.0,tracked average pending lineup,Ronel Blanco,RHP,5.0,,,,2026-08-07,fernando tatis jr,1.1,0.6978851963746223,0.65015,0.716,0.5813,0.13469999999999993,6,3,-0.04773519637462231,1764.0,0.3047879818594104,0.1921150793650793,20.754478458049885,9.853628117913832,4.0059523809523805,92.74501133786848,52.33424036281179,21.410827664399093,47.68645124716553,25.426643990929705,25.64608843537415,57.83888888888889,16.451020408163266,2.4349206349206347,1.4903628117913832,19.704053287981857,4.0059523809523805,20.754478458049885,9.889625850340137,8.83656462585034,37.40136054421768,2.270436507936508,4.295861678004535,22.32018140589569,7.965532879818594,0.917171201814059,1.151672335600907,64.35997732426304,21.3531746031746,12.72624716553288,11.615079365079364,3,Research Card,fernando tatis jr.|sd|hou,2026-08-07 21:40:00-04:00,234.0846306166667,2026-08-08T01:40:00Z,2026-08-07,LIVE,Still live; not inside lock window.
Austin Martin,MIN,MIL,1.0,DraftKings,-154,PropLine,False,-160.0,-154.0,6.0,13.0,2026-08-07T11:30:10,2026-08-07T17:31:59,4.62,125.0,0.284,0.373,0.362,0.225,0.1007761877828053,0.278906108597285,20.547737556561085,FF,30.3,matched,148.0,11.0,1.0,matched,0.6719,0.6753,-0.0343,0.0034,593,0.6358,0.6324,0.0034,1.0,-208,0.6062992125984252,0.069,B,Playable,0.6688,-0.0065,-202,0.0625,B,Playable,PA Context Blend,0.2311,0.2346,0.6801,0.0048,-213,0.6063,0.0738,B+,Strong,0.6103,-0.065,0.004,-157,Pass,Improving,,New,Downgrade,160,0.61875,0.3669,0.034,-0.5714,False,0.6653,0.6153,0.6063,0.009,-160,Pass,Pass,61.7,55.50388558201058,73.6375,63.08125,65.2070082255343,46.18835,74.1,0.005,-0.055,Constructive,Value,Watch,646,0.521671826625387,False,PA Path Alpha,1.0,4.62,"{""3"": 0.005, ""4"": 0.3219, ""5"": 0.5225, ""6"": 0.1506}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2305, 0.2308, 0.2318], ""4"": [0.2305, 0.2308, 0.2318, 0.2338], ""5"": [0.2305, 0.2308, 0.2318, 0.2338, 0.2341], ""6"": [0.2305, 0.2308, 0.2318, 0.2338, 0.2341, 0.2341]}","{""3"": 0.5453, ""4"": 0.6516, ""5"": 0.7332, ""6"": 0.7956}",0.2304,0.2341,0.7154,0.6063,0.1091,-251,A,Strong,True,True,market mispricing,0.6646,65-67.4,0.0508,0.0784,0.1921,0.6731,0.1656,0.0037,42.9,7,True,8,False,True,True,cheaper than similar-probability peers; better PA path than blended model; extra PA volume versus peer bucket; passes path filter,0.6649,0.6608,0.0153,55.69,24.68,40.86,77.47,48.15,64.55,50.02,50.31,Improving Contact,Neutral Offense,Stable / Neutral,Neutral,-0.0013,-0.0047,-0.0039,-0.0099,0.651,0.6063,0.0447,-187,77.2,B+,Watch,PA opportunity,False,0.6062992125984252,-0.08,0.5263,-0.08,-111,Pass,Avoid / Overpriced,100,,balanced_hitter,average_k_pitcher,,"market_pricing:-146_to_-170 (-4.0%, n=2775); opportunity:top_2 (-3.0%, n=4847); opportunity:top_3 (-3.0%, n=7713)",market has historically overpriced similar buckets,14,False,2.0,True,,False,Covered,True,confirmed,MLB Starting Lineups Page,2.1379310344827585,29.0,,Shane Drohan,LHP,1.0,1.0,4.62,https://www.mlb.com/starting-lineups/2026-08-07,2026-08-07,austin martin,1.0,0.6062992125984252,0.6428125,0.7154,0.5263,0.18910000000000005,5,4,0.03651328740157478,438.0,0.3276369863013698,0.0923881278538812,17.804109589041097,9.618264840182649,0.482648401826484,85.58675799086758,35.60753424657534,27.936301369863017,44.55388127853881,20.5486301369863,30.731278538812788,53.6703196347032,15.598401826484018,-0.523972602739726,-0.234703196347032,-3.52554794520548,0.482648401826484,17.804109589041097,9.618264840182649,6.849543378995434,29.454337899543383,1.9615525114155248,5.0,201.18036529680364,17.781963470319635,0.8481050228310503,1.2047260273972604,70.76027397260275,27.76027397260274,1.371917808219178,9.23972602739726,4,Research Card,austin martin|min|mil,2026-08-07 19:40:00-04:00,114.08463061666666,2026-08-07T23:40:00Z,2026-08-07,LIVE,Still live; not inside lock window.
Drake Baldwin,ATL,NYY,2.0,DraftKings,-217,PropLine,False,-226.0,-217.0,9.0,13.0,2026-08-07T11:30:10,2026-08-07T17:31:59,4.5,196.0,0.294,0.552,0.398,0.205,0.15869585,0.308755,22.2278,FC,22.4,matched,117.0,6.0,1.0,matched,0.695,0.6623,-0.0328,-0.0327,512,0.5801,0.6128,-0.0327,1.0,-196,0.6845425867507886,-0.0222,Pass,Pass,0.6753,0.013,-208,-0.0093,Pass,Pass,PA Context Blend,0.232,0.2368,0.6727,0.0104,-206,0.6845,-0.0118,Pass,Pass,0.7173,0.055,0.0328,-254,Lean,Strong/Locked,,New,Upgrade,6,0.8333333333333334,1.6361,-0.327,-1.1429,False,0.6757,0.6357,0.6845,-0.0488,-174,Pass,Pass,61.94,74.54166666666666,70.5125,49.34375,60.02645899053627,58.498175,55.32,0.0052,-0.0451715306122448,Constructive,Fair,Avoid/Fade,980,0.6224489795918368,False,PA Path Alpha,2.0,4.5,"{""3"": 0.0155, ""4"": 0.366, ""5"": 0.5, ""6"": 0.1186}","{""PA1"": 0.98, ""PA2"": 0.9, ""PA3"": 0.62}","{""3"": [0.2343, 0.2345, 0.2354], ""4"": [0.2343, 0.2345, 0.2354, 0.237], ""5"": [0.2343, 0.2345, 0.2354, 0.237, 0.2372], ""6"": [0.2343, 0.2345, 0.2354, 0.237, 0.2372, 0.2372]}","{""3"": 0.5518, ""4"": 0.658, ""5"": 0.7391, ""6"": 0.801}",0.2342,0.2372,0.7139,0.6845,0.0294,-250,Pass,Pass,True,False,balanced PA path,0.6765,67.5-69.9,0.0374,-0.0089,0.1,0.6186,0.147,0.003,19.6,94,False,9,False,True,True,better PA path than blended model; passes path filter,0.6763,0.6737,0.0,62.53,65.46,31.71,71.6,57.1,48.67,55.55,56.24,Improving Contact,Neutral Offense,Dominant,Pitcher Advantage,0.005,0.0012,0.0004,0.0066,0.6803,0.6845,-0.0042,-213,72.3,Pass,Pass,PA opportunity,False,0.6845425867507886,-0.08,0.6045,-0.08,-153,Pass,Avoid / Overpriced,100,,star_power_bat,low_xba_allowed_pitcher,,"market_pricing:-201_to_-240 (-4.0%, n=4016); opportunity:slot_2 (-3.0%, n=2546); opportunity:top_2 (-3.0%, n=4847)",market has historically overpriced similar buckets,14,False,,False,,False,Covered,True,confirmed,MLB Starting Lineups Page,1.891891891891892,37.0,,Max Fried,LHP,2.0,2.0,4.5,https://www.mlb.com/starting-lineups/2026-08-07,2026-08-07,drake baldwin,2.0,0.6845425867507886,0.6702499999999999,0.7173,0.6045,0.11280000000000001,7,6,-0.014292586750788705,446.0,0.289,0.195,15.2,8.5,4.3,91.7,49.6,23.1,48.7,24.9,30.6,51.6,17.8,0.9,0.0,26.41,4.3,15.3,8.5,8.7,35.0,1.79,6.0,21.3,5.1,0.95,1.46,71.0,23.0,11.8,7.0,5,Research Card,drake baldwin|atl|nyy,2026-08-07 19:05:00-04:00,79.08463061666666,2026-08-07T23:05:00Z,2026-08-07,LIVE,Still live; not inside lock window.
