pick_date,parlay_rank,leg1_player,leg1_team,leg1_opponent,leg1_odds,leg1_probability,leg1_lineup_slot,leg2_player,leg2_team,leg2_opponent,leg2_odds,leg2_probability,leg2_lineup_slot,pair_type,same_team,same_game,same_pitcher_profile,same_hitter_side,same_team_regime,correlation_multiplier,raw_joint_probability,parlay_probability,combined_decimal_odds,combined_american_odds,market_joint_probability,parlay_edge,parlay_ev_per_dollar,parlay_predictor_score,confidence,recommendation,sample_notes,why_it_has_edge,risk_note,actual_leg1_hit,actual_leg2_hit,actual_parlay_hit,profit
2026-05-14,1,Andruw Monasterio,BOS,PHI,-156.0,0.6823,2.0,Brandon Marsh,PHI,BOS,-167.0,0.6973,6.0,same_game_opponents,False,True,True,False,True,0.9335940423789191,0.47576779,0.44417397429978467,2.623675725472132,162,0.3811446629213484,0.06302931137843626,0.16536847425682766,50.302356435960114,Lean,Parlay Predictor Bet,pair_type=same_game_opponents: 0.93x over 7607 pairs; same_game=True: 0.94x over 15167 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.93x; same-game environment; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,1.0,1.0,1.0,1.6236757254721321
2026-05-15,1,Kyle Schwarber,PHI,PIT,-164.0,0.6675500000000001,2.0,Marcell Ozuna,PIT,PHI,-134.0,0.6644,5.0,same_game_opponents,False,True,True,False,True,0.9335940423789191,0.4435202200000001,0.41406783506658756,2.811066618128868,181,0.3557368557368557,0.05833097932973186,0.16397226879657423,48.50689823210893,Lean,Parlay Predictor Bet,pair_type=same_game_opponents: 0.93x over 7607 pairs; same_game=True: 0.94x over 15167 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.93x; same-game environment; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,1.0,1.0,1.0,1.811066618128868
2026-05-16,1,Cam Smith,HOU,TEX,-110.0,0.68605,5.0,Luke Raley,SEA,SD,-121.0,0.6982999999999999,5.0,different_games,False,False,True,False,True,0.9259542907439682,0.479068715,0.44359573221544923,3.4868519909842224,249,0.2867916397328162,0.15680409248263305,0.546752662067543,88.33257438604369,Strong,Parlay Predictor Bet,pair_type=different_games: 0.92x over 176289 pairs; same_game=False: 0.92x over 176384 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,0.0,1.0,0.0,-1.0
2026-05-17,1,JJ Bleday,CIN,CLE,-151.0,0.6980500000000001,3.0,Luke Raley,SEA,SD,-103.0,0.6514500000000001,5.0,different_games,False,False,True,False,True,0.9259542907439682,0.4547446725000001,0.4210727806943357,3.276088214492381,228,0.30524208584381685,0.11583069485051883,0.3794715742762481,70.36570327325295,Strong,Parlay Predictor Bet,pair_type=different_games: 0.92x over 176289 pairs; same_game=False: 0.92x over 176384 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,0.0,1.0,0.0,-1.0
2026-05-18,1,Miguel Vargas,CWS,SEA,-156.0,0.6759666666666666,3.0,Sam Antonacci,CWS,SEA,-173.0,0.7040666666666667,1.0,same_team,True,True,True,False,True,0.9435884692797707,0.47592559777777776,0.44907790629819316,2.589595375722543,159,0.38616071428571436,0.0629171920124788,0.16293006948896238,50.42817648809457,Lean,Parlay Predictor Bet,pair_type=same_team: 0.96x over 7560 pairs; same_game=True: 0.94x over 15167 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.94x; same-team lineup correlation; similar opposing pitcher profile bucket; same team-regime bucket,shared lineup/weather/pitcher downside,0.0,1.0,0.0,-1.0
2026-05-19,1,Nick Kurtz,ATH,LAA,-152.0,0.6713333333333332,2.0,Taylor Ward,BAL,TB,-148.0,0.6750666666666666,1.0,different_games,False,False,True,False,True,0.9259542907439682,0.45319475555555544,0.4196376284493304,2.7780938833570414,178,0.3599590373783922,0.0596785910709382,0.1657927288215395,48.9188853543068,Lean,Parlay Predictor Bet,pair_type=different_games: 0.92x over 176289 pairs; same_game=False: 0.92x over 176384 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,1.0,1.0,1.0,1.7780938833570414
2026-05-20,1,Colt Keith,DET,CLE,-155.0,0.6735666666666668,1.0,Riley Greene,DET,CLE,-154.0,0.6563,4.0,same_team,True,True,True,False,True,0.9435884692797707,0.4420618033333334,0.4171244203343551,2.7134478424801003,171,0.3685348155010036,0.04858960483335151,0.1318453584020184,45.56226365138908,Lean,Parlay Predictor Bet,pair_type=same_team: 0.96x over 7560 pairs; same_game=True: 0.94x over 15167 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.94x; same-team lineup correlation; similar opposing pitcher profile bucket; same team-regime bucket,shared lineup/weather/pitcher downside,0.0,1.0,0.0,-1.0
2026-05-21,1,Andrés Chaparro,WSH,NYM,-115.0,0.6671124999999999,3.0,James Wood,WSH,NYM,-216.0,0.7167625,1.0,same_team,True,True,True,False,True,0.9435884692797707,0.4781612232812499,0.4511874167448972,2.7351046698872783,174,0.3656167206358552,0.085570696109042,0.23404481053334603,57.65567366710166,Strong,Parlay Predictor Bet,pair_type=same_team: 0.96x over 7560 pairs; same_game=True: 0.94x over 15167 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=True: 0.93x over 113320 pairs,learned pair multiplier 0.94x; same-team lineup correlation; similar opposing pitcher profile bucket; same team-regime bucket,shared lineup/weather/pitcher downside,0.0,1.0,0.0,-1.0
2026-05-22,1,Max Muncy,LAD,MIL,-145.0,0.6723375,5.0,Oneil Cruz,PIT,TOR,-183.0,0.69675,1.0,different_games,False,False,True,False,False,0.9233018224198127,0.468451153125,0.43252180339497526,2.6129640097983797,161,0.3827071464628254,0.04981465693214987,0.13016390572416103,46.03810798333787,Lean,Parlay Predictor Bet,pair_type=different_games: 0.92x over 176289 pairs; same_game=False: 0.92x over 176384 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=False: 0.91x over 78231 pairs,learned pair multiplier 0.92x; similar opposing pitcher profile bucket,two-leg parlays compound normal hit-prop variance,0.0,0.0,0.0,-1.0
2026-05-23,1,Brice Turang,MIL,LAD,-180.0,0.6896875,2.0,Jesus Sanchez,TOR,PIT,-127.0,0.62015,5.0,different_games,False,False,True,False,False,0.9233018224198127,0.427709703125,0.39490514836194957,2.780402449693788,178,0.35966016362492137,0.035244984737028195,0.0979952419022534,40.75232557433069,Watchlist,Pass,pair_type=different_games: 0.92x over 176289 pairs; same_game=False: 0.92x over 176384 pairs; same_pitcher_profile=True: 0.93x over 120152 pairs; same_hitter_side=False: 0.93x over 191551 pairs; same_team_regime=False: 0.91x over 78231 pairs,learned pair multiplier 0.92x; similar opposing pitcher profile bucket,two-leg parlays compound normal hit-prop variance,1.0,1.0,1.0,1.780402449693788
