player,player_key,team_last,games,first_pa_no_hit_games,hits_after_first_no_hit,recovery_hit_rate_after_0for1,bayes_recovery_hit_rate,first_pa_hit_rate,full_game_hit_rate,avg_remaining_pa_after_0for1,avg_lineup_slot,leadoff_samples,leadoff_recovery_hit_rate,buyback_score,fair_live_odds_after_0for1,sample_flag
Teoscar Hernández,teoscar hernandez,LAD,13,12,10,0.8333333333333334,0.6375799530402396,0.07692307692307693,0.8461538461538461,2.8333333333333335,6.6923076923076925,0,,74.16073193321073,-176,strong
Andy Pages,andy pages,LAD,17,17,12,0.7058823529411765,0.5966178921712327,0.0,0.7058823529411765,3.3529411764705883,3.8823529411764706,0,,72.45027245264487,-148,strong
Junior Caminero,junior caminero,TB,15,12,10,0.8333333333333334,0.6375799530402396,0.2,0.8666666666666667,3.9166666666666665,2.533333333333333,0,,71.90432167680046,-176,strong
Jung Hoo Lee,jung hoo lee,SF,9,7,7,1.0,0.6474694143666185,0.2222222222222222,1.0,2.857142857142857,3.7777777777777777,4,1.0,71.89694143666186,-184,usable
Ernie Clement,ernie clement,TOR,17,15,11,0.7333333333333333,0.6037747730728056,0.11764705882352941,0.7647058823529411,2.6666666666666665,6.235294117647059,0,,70.50125466044919,-152,strong
Spencer Horwitz,spencer horwitz,PIT,16,11,9,0.8181818181818182,0.6218225596941631,0.3125,0.875,3.1818181818181817,3.5,5,0.8,69.8822559694163,-164,usable
Willson Contreras,willson contreras,BOS,15,11,9,0.8181818181818182,0.6218225596941631,0.26666666666666666,0.8666666666666667,3.090909090909091,4.0,0,,69.79892263608298,-164,usable
James Wood,james wood,WSH,18,15,11,0.7333333333333333,0.6037747730728056,0.16666666666666666,0.7777777777777778,3.533333333333333,1.0,15,0.7333333333333333,69.65158145783482,-152,strong
Alec Burleson,alec burleson,STL,16,14,10,0.7142857142857143,0.5885353412679135,0.125,0.75,3.0,3.5625,0,,68.23319383290118,-143,strong
Shohei Ohtani,shohei ohtani,LAD,16,10,8,0.8,0.6046326760438978,0.375,0.875,3.7,1.0,10,0.8,67.71326760438978,-153,usable
Spencer Steer,spencer steer,CIN,16,10,8,0.8,0.6046326760438978,0.375,0.875,3.0,5.25,0,,67.71326760438978,-153,usable
Tyler Freeman,tyler freeman,COL,13,10,8,0.8,0.6046326760438978,0.23076923076923078,0.8461538461538461,3.3,3.3846153846153846,0,,67.42480606592825,-153,usable
Bobby Witt Jr.,bobby witt,KC,17,14,10,0.7142857142857143,0.5885353412679135,0.17647058823529413,0.7647058823529411,3.2857142857142856,2.0,0,,67.3508408917247,-143,strong
Ezequiel Tovar,ezequiel tovar,COL,17,14,10,0.7142857142857143,0.5885353412679135,0.17647058823529413,0.7647058823529411,2.857142857142857,5.9411764705882355,0,,67.3508408917247,-143,strong
Troy Johnston,troy johnston,COL,17,14,10,0.7142857142857143,0.5885353412679135,0.17647058823529413,0.7647058823529411,2.857142857142857,5.411764705882353,0,,67.3508408917247,-143,strong
Travis Bazzana,travis bazzana,CLE,16,12,9,0.75,0.595913286373573,0.25,0.8125,3.1666666666666665,3.25,6,0.8333333333333334,67.1163286373573,-147,strong
Dylan Crews,dylan crews,WSH,10,9,7,0.7777777777777778,0.5858056606174168,0.1,0.8,3.3333333333333335,5.3,0,,66.7102257678515,-141,usable
